File,Category,Alt,Description
commercial-kitchen-1.jpg,Kitchenette,"Stainless steel kitchenette where home-cooked meals are prepared",
commercial-kitchen-2.jpg,Kitchenette,"Stainless steel kitchenette sink and bench",
boarding-suites-1.jpg,Boarding suites,"Corridor between boarding suites",
boarding-suites-2.jpg,Boarding suites,"Individual boarding suite with raised bed and heat lamp",
outdoor-runs-shade-sails.jpg,Outdoor runs,"Outdoor dog runs with shade sails and mature gum trees",
outdoor-runs-pathway.jpg,Outdoor runs,"Brick pathway alongside covered outdoor dog runs",
outdoor-runs-fan.jpg,Outdoor runs,"Outdoor dog run with cooling fan beside the kitchenette",
cattery-enclosures.jpg,Cattery,"Row of individual cat enclosures with carpeted flooring",
cattery-cat-tree.jpg,Cattery,"Cat enclosure interior with multi-tier scratching post",
cattery-exterior-1.jpg,Cattery,"Exterior of the cattery building with shade cloth awning",
cattery-exterior-2.jpg,Cattery,"Cattery building corner with shade cloth and garden",
daycare-play-yard-lawn.jpg,Daycare play yard,"Grassy fenced daycare play yard with mature trees",
daycare-play-yard-fenced.jpg,Daycare play yard,"Fenced grassy play yard beside the property",
daycare-play-yard-orchard.jpg,Daycare play yard,"Open grassed yard with a young fruit tree",Orchard yard
daycare-play-yard-sandpit-1.jpg,Daycare play yard,"Fenced grassed play area",Sandpit area
daycare-play-yard-sandpit-2.jpg,Daycare play yard,"Fenced grassed play area with wind screens",Sandpit area
large-day-pens-1.jpg,Large Day Pens,"Large roofed mesh day pen with timber frame construction",
large-day-pens-2.jpg,Large Day Pens,"Row of large roofed mesh day pens beside a gum tree",
day-pens-path-1.jpg,Large Day Pens,"Brick path beside the day pens leading to the kitchenette",
small-day-pens-1.jpg,Small Day Pens,"Row of small individual mesh day pens with gravel flooring",
small-day-pens-2.jpg,Small Day Pens,"Two small day pens with swing gates",
small-day-pens-3.jpg,Small Day Pens,"Row of small day pens along the lawn",
day-pens-path-2.jpg,Small Day Pens,"Brick path between the day pens and the kitchenette",
small-day-pens-4.jpg,Small Day Pens,"Row of small day pens beside the kitchenette",
